time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,shot
1709730868050169600,6.888169677734375,-0.220622867,0.7472211122512817,-0.091908909,-0.646338046,0.7627690434455872,0.020750189,-0.141046047,0.5044733881950378,-0.22935307,0.6119747047335825,-0.700623895,-0.139646884,-0.339281413,0
1709730868060189400,6.898189453,-0.244075999,0.8036769032478333,-0.014891354,-0.646897197,0.7623758316040039,0.017523581,-0.128707051,0.5104359984397888,-0.290732145,0.6115954033112528,-0.699983575,-0.137057599,-0.342329192,0
1709730868070209500,6.908209473,-0.218530163,0.850318193,0.079990953,-0.646806061,0.7625271081924438,0.013936678878962994,-0.130049348,0.4828341603279114,-0.330190182,0.6113969617640989,-0.699288426,-0.134029983,-0.345290307,0
1709730868080228400,6.918228271484375,-0.280326694,0.8965794444084167,0.21349173784255981,-0.645796001,0.763442874,0.010130957700312138,-0.127656758,0.46459972858428955,-0.366896629,0.6113791301752737,-0.698610355,-0.130418751,-0.348066273,0
1709730868090247400,6.928247314453125,-0.350916445,0.9414618015289307,0.3239061236381531,-0.643822491,0.7651461958885193,0.006635251,-0.104438066,0.44583714,-0.397397518,0.6113232867186135,-0.698150322,-0.126110086,-0.350665457,0
1709730868100267500,6.938267578,-0.297855347,0.9730274677276611,0.45526522397994995,-0.640908182,0.7676117420196533,0.003005219,-0.057715535,0.35319215059280396,-0.443648458,0.6114344679668402,-0.697714551,-0.121231246,-0.353051434,0
1709730868110286600,6.948286621,-0.210591808,0.982132077,0.6055652499198914,-0.636830091,0.771003246,-0.001308296,0.011204421520233154,0.24468284845352173,-0.507099211,0.612078507,-0.697067337,-0.115943862,-0.354984807,0
1709730868120305700,6.958305664,-0.110532314,0.9953823685646057,0.733200729,-0.631598771,0.7752697467803955,-0.006336205,0.081229389,0.21165364980697632,-0.524410129,0.6132618308468325,-0.69618445,-0.110268352,-0.356480251,0
1709730868130325200,6.968325195,0.017885046,0.9961378574371338,0.8405601978302002,-0.625366151,0.7802353501319885,-0.01225525,0.11859118938446045,0.15103918313980103,-0.502026856,0.6150474481226291,-0.694966355,-0.104374997,-0.357553282,0
1709730868140344300,6.978344238,0.16013886034488678,0.997242272,0.9226374626159668,-0.618281305,0.7857236862182617,-0.019149354,0.15029418468475342,0.079937994,-0.489273429,0.6174355918485465,-0.693359836,-0.09837409,-0.358256961,0
1709730868150363400,6.988363281,0.34000927209854126,1.009157419204712,0.9706345796585083,-0.610563278,0.7914968132972717,-0.027301878,0.1686992049217224,0.036139905,-0.463970006,0.6204847768389963,-0.691235012,-0.092429538,-0.3586776,0
1709730868160383500,6.998383544921875,0.472201943,1.042559027671814,0.9941350817680359,-0.602411091,0.797336996,-0.036806975,0.17067885398864746,-0.023121297,-0.417172432,0.6241348166953256,-0.688549607,-0.086579161,-0.358969733,0
1709730868170402600,7.008402587890625,0.5861413478851318,1.0820297002792358,0.9901542067527771,-0.594001114,0.803066611,-0.047399905,0.17012715339660645,-0.068722129,-0.356027126,0.6281753269829485,-0.685402553,-0.080767489,-0.359298926,0
1709730868180421400,7.018421387,0.6503728032112122,1.0938674211502075,0.975899339,-0.58548075,0.8085458874702454,-0.058873825,0.15640348196029663,-0.111905813,-0.272547007,0.6325066131564409,-0.681854953,-0.075079365,-0.359683785,0
1709730868190441500,7.028441406,0.7327297329902649,1.0710188150405884,0.9534153342247009,-0.576938093,0.813713014,-0.070806257,0.15370506048202515,-0.135719299,-0.203912914,0.6369876304462844,-0.678052469,-0.069582487,-0.360069275,0
1709730868200460500,7.038460449,0.8314930200576782,1.0122815370559692,0.9365569949150085,-0.568418682,0.8185224533081055,-0.083195165,0.15031254291534424,-0.133662164,-0.152858198,0.6416916561629246,-0.673978918,-0.064458013,-0.360318656,0
1709730868210479600,7.048479736328125,0.8716471195220947,0.9412874579429626,0.9089714884757996,-0.559926629,0.822990894,-0.095751494,0.1291099190711975,-0.121681631,-0.105786502,0.6465446973036332,-0.669743722,-0.059729385,-0.360355136,0
1709730868220499500,7.058499512,0.8038148283958435,0.8466275334358215,0.877944827,-0.551628351,0.8271043300628662,-0.107725479,0.11177843809127808,-0.115815818,-0.058366358,0.6512440098657517,-0.665637092,-0.055358137,-0.360200053,0
1709730868230518300,7.068518310546875,0.7381889224052429,0.7533876299858093,0.8108507394790649,-0.543721914,0.8308594822883606,-0.118486434,0.096807241,-0.107531846,-0.002820835,0.6555273193985163,-0.661908737,-0.051318678,-0.359898809,0
1709730868240537300,7.078537353515625,0.7326772212982178,0.6697494387626648,0.7690955996513367,-0.536265135,0.8342170715332031,-0.128459066,0.065790832,-0.098911226,0.048213183879852295,0.6595521019243978,-0.658404216,-0.047690244,-0.359472751,0
1709730868250557400,7.088557373046875,0.7179710268974304,0.6161988377571106,0.735750675,-0.529106975,0.8372668623924255,-0.137950137,0.0434044,-0.105516315,0.065089524,0.6634414350614805,-0.655021925,-0.044398268,-0.358915962,0
1709730868260576500,7.098576416015625,0.6634611487388611,0.5747808814048767,0.6791521310806274,-0.522297621,0.8400120139122009,-0.146918952,0.027149856090545654,-0.129455864,0.080741644,0.6671170152957703,-0.651790904,-0.041341761,-0.358349612,0
1709730868270595300,7.108595215,0.5797619223594666,0.5301064252853394,0.6099504232406616,-0.516044557,0.8424087166786194,-0.155066639,-0.005882382,-0.15524441,0.10568930208683014,0.6704171920544203,-0.648832181,-0.038515992,-0.357874488,0
1709730868280615400,7.118615478515625,0.4555923640727997,0.48860713839530945,0.524219275,-0.510441124,0.8444960117340088,-0.162099853,-0.036800086,-0.15058732,0.11952795088291168,0.6732230260178619,-0.646267319,-0.035897389,-0.357520203,0
1709730868290634500,7.128634521484375,0.29890474677085876,0.44430914521217346,0.4289928674697876,-0.505617142,0.8463163375854492,-0.167631626,-0.059080184,-0.153796077,0.13304001092910767,0.6753662840423784,-0.644255988,-0.033442642,-0.357346391,0
1709730868300654300,7.138654297,0.1932544708251953,0.3882501423358917,0.3409799337387085,-0.501651466,0.8478338718414307,-0.171825245,-0.068340719,-0.18758589,0.13701997697353363,0.6769149720175179,-0.6427377,-0.031234994,-0.357349965,0
1709730868310673400,7.14867334,0.12144738435745239,0.3102373778820038,0.26438236236572266,-0.49848032,0.8490763306617737,-0.174891219,-0.068276942,-0.203873634,0.12504082918167114,0.6779977818361765,-0.641633437,-0.029341474,-0.357441957,0
1709730868320692500,7.158692383,0.044196282,0.21832901239395142,0.1860222965478897,-0.496085912,0.850055993,-0.176928341,-0.060783625,-0.200809777,0.12222571671009064,0.6787128293323523,-0.640905058,-0.02786635,-0.357509584,0
1709730868330712300,7.168712402,-0.039833911,0.1320451945066452,0.1010642796754837,-0.494560838,0.8507577776908875,-0.177822456,-0.052802444,-0.209369838,0.118435338,0.6790031246227035,-0.640600783,-0.02682184,-0.357583557,0
1709730868340731400,7.178731445,-0.090501085,0.046454668045043945,0.033704147,-0.493885517,0.8511970639228821,-0.177597165,-0.046718121,-0.228974164,0.11439533531665802,0.6788823592169951,-0.640714358,-0.026201633,-0.357655372,0
1709730868350750500,7.188750488,-0.137741834,-0.006849566,-0.034362789,-0.493855059,0.8514069318771362,-0.176673666,-0.043605298,-0.249462903,0.12410719692707062,0.6785057547126331,-0.641085533,-0.025932723,-0.357724547,0
1709730868360770600,7.198770508,-0.186356246,-0.045045156,-0.083545253,-0.49440515,0.8513932228088379,-0.175194964,-0.034220368,-0.224760473,0.11187107861042023,0.6778900880258959,-0.641661979,-0.025931162,-0.357858361,0
1709730868370789600,7.208789551,-0.206409052,-0.063724406,-0.127763048,-0.495393276,0.851208508,-0.173291117,-0.020445436,-0.232846022,0.082318306,0.6770723066463653,-0.642396598,-0.026096913,-0.358076516,0
1709730868380808400,7.218808349609375,-0.229003847,-0.096157983,-0.159911662,-0.496765465,0.8508742451667786,-0.170988977,-0.003494024,-0.235731363,0.051405906677246094,0.676080978,-0.643278283,-0.026430287,-0.358342138,0
1709730868390828300,7.228828369140625,-0.245351911,-0.131126136,-0.178788692,-0.498381764,0.8504409193992615,-0.168422386,0.013625234365463257,-0.183311343,0.011668920516967773,0.6750104328472628,-0.644254111,-0.026934172,-0.358569742,0
1709730868400847400,7.238847412109375,-0.249145046,-0.167107046,-0.206380367,-0.500275731,0.8498944640159607,-0.16554077,0.025956213,-0.152583003,-0.013047993,0.6738313818778469,-0.645342878,-0.02760773,-0.358778118,0
1709730868410866400,7.248866455078125,-0.186751992,-0.212178275,-0.230864406,-0.5024634,0.8491511344909668,-0.162705064,0.041922629,-0.108550489,-0.032195315,0.6726946462882973,-0.646398819,-0.028566322,-0.358935219,0
1709730868420886500,7.258886474609375,-0.136440605,-0.246664628,-0.254358292,-0.504897654,0.8481858968734741,-0.160185203,0.04402113,-0.049876511,-0.059693873,0.6717082890779678,-0.647315124,-0.029841705,-0.359027463,0
1709730868430905300,7.268905273,-0.117006987,-0.271146357,-0.286955357,-0.507605791,0.847010076,-0.157830238,0.043753862380981445,0.004491389,-0.083258554,0.670786291,-0.648151714,-0.031372547,-0.359111324,0
1709730868440924400,7.278924316,-0.091919482,-0.281150788,-0.317663759,-0.510621428,0.8456270694732666,-0.155501336,0.036195159,0.065002203,-0.09903042,0.6698425330576421,-0.648963748,-0.033096582,-0.359251536,0
1709730868450944500,7.288944580078125,-0.031292088,-0.262795746,-0.314847976,-0.513733804,0.8440934419631958,-0.153571621,0.016510844230651855,0.14041906595230103,-0.123848334,0.6690225244631253,-0.649610401,-0.034935906,-0.35943699,0
1709730868460963600,7.298963623046875,0.038952779,-0.236127645,-0.29480052,-0.516711593,0.842496932,-0.152341813,0.009997725,0.17639338970184326,-0.147859499,0.6684494131413657,-0.649981267,-0.036789185,-0.359647424,0
1709730868470982400,7.308982422,0.045798969,-0.195675835,-0.25762412,-0.519378364,0.8409907221794128,-0.15159522,0.008697152,0.2005438208580017,-0.145157635,0.6680555812986194,-0.65016943,-0.038498123,-0.35986052,0
1709730870595085600,9.433085449,-4.598767281,-1.483512521,-7.016572952,0.8761411309242249,-0.479862273,0.045927655,-1.576763511,0.7606391310691833,0.9259963035583496,0.6895819849809046,0.38255430970249155,0.6136904976134222,-0.038898155,2
1709730870605105700,9.443105712890626,-5.046270847,-1.820999026,-7.337100506,0.9088529348373413,-0.41700983,0.009452277,-1.615273714,0.967470646,0.962944746,0.7018348563737905,0.34315651848384854,0.6220689207544354,-0.051978629,2
1709730870615124700,9.453124755859376,-5.454530716,-2.110975027,-7.654627323,0.9373711347579956,-0.347129732,-0.028925912,-1.613274336,1.2031172513961792,0.9860792756080627,0.7142853691315101,0.30043701660227007,0.6287087106972544,-0.065265351,2
1709730870625143600,9.463143555,-5.759104729,-2.351432562,-7.91791153,0.9604165554046631,-0.270265579,-0.067506425,-1.584699154,1.4166278839111328,0.9497849941253662,0.7263256080765089,0.2547544199832833,0.6335195114557011,-0.078769272,2
1709730870635163600,9.473163574,-6.153628826,-2.523185968,-8.082525253,0.9766615629196167,-0.187419519,-0.104911059,-1.574851751,1.5238453149795532,0.8988258838653564,0.73756256,0.20639674926463367,0.6363527728790368,-0.091962754,2
1709730870645182700,9.483182617,-6.488244534,-2.661078215,-8.268157959,0.9852409362792969,-0.099247739,-0.139464885,-1.59420383,1.5609328746795654,0.8820644617080688,0.7475263569665855,0.15553492840011598,0.6372412734988704,-0.104579838,2
1709730870655201800,9.493201904296875,-6.75337553,-2.796781778,-8.455744743,0.9854323863983154,-0.00633759,-0.169949844,-1.615940809,1.6454672813415527,0.8420079946517944,0.7558867058734342,0.10235823232806922,0.6360407771717793,-0.116663011,2
