time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1710358910298293500,0.061293457,-1.404323101,-0.318077445,0.056352399,-0.206071407,0.592926562,-0.778442442,0.1084304004907608,0.028975904,0.13226330280303955,0.9429853217196106,-0.314388028,-0.109265435,1.0443605219735203e-17
1710358910308312600,0.0713125,-1.363952041,-0.363342285,0.056030422,-0.208370641,0.6038045883178711,-0.769416511,0.1215481162071228,0.027451575,0.13646668195724487,0.940589364,-0.320965752,-0.110782413,4.81088E-05
1710358910318331600,0.081331543,-1.246503353,-0.40641439,0.061599623411893845,-0.210979626,0.6139391660690308,-0.760635495,0.1340295374393463,0.060316264629364014,0.14514172077178955,0.9382525376916026,-0.327146589,-0.112504955,0.000208615
1710358910328350500,0.091350586,-1.15497005,-0.429238915,0.09420231,-0.213673145,0.6231915950775146,-0.752313793,0.13618899881839752,0.11193114519119263,0.12119507789611816,0.9360323465790341,-0.33281823,-0.114346541,0.000587371
1710358910338400300,0.101400146,-1.104188919,-0.436945826,0.12578074634075165,-0.216237113,0.6318737864494324,-0.744296372,0.12556934356689453,0.14046519994735718,0.083835006,0.9338888039369676,-0.338302474,-0.115772407,9.373609047089685e-18
1710358910348419300,0.111419434,-1.160286188,-0.411060333,0.15472637116909027,-0.218494862,0.6405348777770996,-0.736189544,0.10965389013290405,0.13793808221817017,0.050337613,0.9317157372521944,-0.343647953,-0.117521557,0.000725314
1710358910358438100,0.121438232,-1.23579216,-0.379238755,0.17217034101486206,-0.220323205,0.6497275829315186,-0.727538109,0.088365152,0.1053231954574585,0.031539082527160645,0.929390593,-0.349358025,-0.119079419,0.001458936
1710358910368457200,0.131457275,-1.127109885,-0.349808753,0.15551573038101196,-0.221886024,0.6587516665458679,-0.718896925,0.071403801,0.074051797,0.028574169,0.9270619223855286,-0.355008947,-0.120499674,0.00216234
1710358910378477300,0.141477295,-0.922776997,-0.334115803,0.1595006138086319,-0.223311096,0.666449785,-0.711320519,0.061598405,0.063347638,0.02833724,0.9250147212598582,-0.359860825,-0.121819231,0.00285953
1710358910388496400,0.151496338,-0.702957809,-0.344750494,0.19647088646888733,-0.224516556,0.6726468801498413,-0.705080569,0.05555594,0.10539889335632324,0.029284119606018066,0.9233233810573653,-0.363746764,-0.123077232,0.003798815
1710358919225292300,8.988292236328125,-1.055327654,-0.246350482,-2.394620895,0.5467337369918823,-0.497175753,-0.673720002,-0.53965354,-0.292054564,0.41361868381500244,0.7289878367902367,0.036012788,0.40229726011693423,0.5526634474864596
1710358919235311400,8.998311279296875,-1.04126215,-0.444420934,-2.520526171,0.5564340949058533,-0.476352245,-0.680786014,-0.538016677,-0.260906577,0.459472656,0.7366398614500271,0.028124465,0.3985172464927427,0.5456690190142771
1710358919245330400,9.008330322265625,-1.055630684,-0.696750939,-2.683421135,0.5646020770072937,-0.454686701,-0.688828349,-0.55007565,-0.254969001,0.47473227977752686,0.7449172523077616,0.020672365,0.39390160633248605,0.5380636887896075
1710358919255349200,9.018349365234375,-1.222589374,-0.92994988,-3.031880856,0.571582556,-0.430590868,-0.69848758,-0.51471293,-0.297375381,0.41285836696624756,0.7542474608025478,0.013027766769737737,0.3880547307331261,0.5294852979468968
1710358919265368300,9.028368408203125,-1.43725419,-1.126309037,-3.315834761,0.5776031613349915,-0.402869195,-0.709979594,-0.48853749,-0.316353768,0.3791385889053345,0.7646471572841819,0.004533473,0.3807750718983432,0.5199082257330602
1710358919275387400,9.038387451171875,-1.621621966,-1.267738938,-3.525733709,0.5822589993476868,-0.372004449,-0.722901881,-0.551985443,-0.299550056,0.39302217960357666,0.7757384387972512,-0.00472144,0.3721918346149675,0.5095889158224655
1710358919285406500,9.048406494140625,-1.798041463,-1.343660593,-3.70581007,0.5855723023414612,-0.338327676,-0.736640751,-0.675446451,-0.279256493,0.4206617474555969,0.787196644,-0.014775318,0.3625759587157781,0.4986401049967488
1710358919295425300,9.058425293,-1.942966104,-1.405413747,-3.921434164,0.5875518321990967,-0.301972508,-0.750730038,-0.785259843,-0.228621304,0.441037655,0.7988694064486871,-0.025648398,0.3521038981848067,0.48700391181896685
1710358919305444400,9.068444336,-2.057709932,-1.462172866,-4.201430798,0.588134229,-0.262869179,-0.76485157,-0.81872499,-0.153405786,0.4139147400856018,0.8108208905849623,-0.037302782,0.34085585008688596,0.47433677626322585
1710358919315463400,9.078463379,-2.148198605,-1.512568593,-4.484553814,0.5871540307998657,-0.220987618,-0.77872628,-0.783443034,-0.067433923,0.38562941551208496,0.8230289214706387,-0.049731281,0.3288824205800158,0.4604201460620296
1710358919325482200,9.088482177734376,-2.164391518,-1.547578573,-4.678981781,0.5842488408088684,-0.177039132,-0.792029381,-0.750737369,0.008399084,0.35274410247802734,0.8353138542105027,-0.06264708,0.3163236537026139,0.4452703330942025
1710358919335501300,9.098501220703126,-2.243505955,-1.592447281,-4.755992889,0.5789821743965149,-0.132092655,-0.804568946,-0.74183923,0.066769883,0.3367345333099365,0.8473313679799664,-0.07571961,0.30328547615362533,0.42931804435731524
1710358919345520400,9.108520263671876,-2.36811161,-1.65387857,-4.890783787,0.5710139870643616,-0.085487962,-0.81647706,-0.705214977,0.13868018984794617,0.33396369218826294,0.8589577374359223,-0.08935001,0.2894443502868897,0.4128319068224807
