time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,shot
1710359466604456000,112.4604560546875,0.023218552,0.014097352512180805,0.005635426,-0.619603515,0.7579622864723206,-0.203924209,-0.002192259,-0.015469491,0.003622234,0.7758376069699774,-0.491635233,-0.395389293,-0.0061913,0
1710359466614475000,112.47047509765625,0.019080797,0.014428384,-0.004068067,-0.619596243,0.7578920722007751,-0.204206482,-0.001818001,-0.014422715,0.002546489,0.7759285219510338,-0.491530452,-0.395341087,-0.006188238,0
1710359466624492800,112.48049291992187,0.019478406757116318,0.023828011006116867,-0.027232241,-0.619725168,0.7577099204063416,-0.204491436,-0.00315398,-0.017902553,0.006249398,0.7760196214958555,-0.491402944,-0.395319397,-0.006281955,0
1710359466634512000,112.49051196289062,0.016391802579164505,0.026162431,-0.036451306,-0.619944751,0.7574405074119568,-0.204823479,-0.005238414,-0.019967854,0.006550908,0.7761251989931942,-0.491247597,-0.395302495,-0.006449208,0
1710359466644531000,112.50053100585937,0.024579159915447235,0.028129175305366516,-0.044924688,-0.620222926,0.7571108341217041,-0.205199942,-0.003037632,-0.013717771,0.003311098,0.7762448410021419,-0.491057755,-0.395300278,-0.006642142,0
1710359466654549000,112.51054907226562,0.018399028107523918,0.028487211,-0.043015465,-0.620528162,0.7567510008811951,-0.205603838,-0.002213657,-0.009863734,0.002097547,0.7763730038740039,-0.490854194,-0.395297657,-0.006856698,0
1710359466664568000,112.52056811523437,0.015916695818305016,0.02589995,-0.035992444,-0.620799959,0.7564375400543213,-0.205936879,-0.000843287,-0.004911482,0.000752121,0.7764784754962815,-0.490688638,-0.395292573,-0.00705904,0
1710359466674585900,112.5305859,0.023471285,0.020182941108942032,-0.029101249,-0.621086121,0.7561326622962952,-0.206193179,-0.002296507,-0.00012058,0.004701018,0.7765592513985589,-0.490534027,-0.395322375,-0.007240718,0
1710359466684605000,112.54060498046876,0.023673418909311295,0.016608979552984238,-0.017637672,-0.621315658,0.7558721303939819,-0.20645678,-0.004859328,0.004290342,0.005132496,0.7766429745738137,-0.490376402,-0.395351226,-0.007363914,0
1710359466694624000,112.5506240234375,0.013791760429739952,0.010015206411480904,-0.010716382,-0.621470451,0.7556897401809692,-0.206658974,-0.004536808,0.008211195,0.006463796,0.7767074088920686,-0.490257649,-0.39537065,-0.00744079,0
1710359466704641800,112.56064184570313,0.016274625435471535,0.005298482,-0.012707096,-0.621646166,0.755518377,-0.206756368,-0.002728224,0.003575921,0.004806474,0.7767379043499811,-0.490168266,-0.395419887,-0.007518806,0
1710359466714660900,112.57066088867188,0.003052829,-0.000226299,-0.003643825,-0.621854722,0.7553380727767944,-0.206788063,0.002042651,-0.006680727,0.011475741863250732,0.7767474073185441,-0.490083899,-0.395504409,-0.007591238,0
1710359466724680000,112.58067993164063,-0.006418703,-0.00290677,-0.003936773,-0.621954799,0.7552714347839355,-0.206730157,0.005209744,-0.006034315,0.008625448,0.7767283098218277,-0.490074553,-0.395552597,-0.0076325,0
1710359466734697700,112.59069775390626,-0.014987957,0.003493018,-0.010419706,-0.622076094,0.7551971673965454,-0.20663695,0.001791,-0.005410731,0.003054336,0.7766975928419649,-0.490086295,-0.395596952,-0.007710548,0
1710359466744716800,112.6007168,-0.003908674,0.008048622,-0.014640551,-0.622173071,0.7551332712173462,-0.206578344,0.00071305,-0.011480868,0.005849138,0.7766777431939165,-0.49010662,-0.395608809,-0.007806393,0
1710359466754735000,112.61073510742187,0.009425242,0.006048428,-0.017190794,-0.622284949,0.755039632,-0.206583381,0.006516457,-0.011829793,0.002405718,0.7766786254018022,-0.490082516,-0.395635485,-0.007877929,0
1710359466764754000,112.6207539,0.020405985414981842,0.008917185,-0.018053124,-0.622411847,0.7549132108688354,-0.206662923,0.006719708,-0.001891971,-1.89E-06,0.7767036448056265,-0.490015104,-0.395668717,-0.007935675,0
1710359466774773000,112.63077294921875,0.008624695,0.009797093,-0.025308641,-0.622542918,0.7547810673713684,-0.20675081,0.001723826,-0.001790345,0.001505032,0.7767312748605338,-0.489944925,-0.395700092,-0.007998482,0
1710359466784791000,112.640791,-0.000672933,0.00921173,-0.02457121,-0.622714043,0.7546318769454956,-0.206780404,0.005343378,-0.008278608,0.003350377,0.7767396249965627,-0.489903159,-0.39573311,-0.008114738,0
1710359466794809900,112.65080981445313,-0.001967496,0.010287700220942497,-0.018966323,-0.622879386,0.7545139789581299,-0.20671314,0.011001825332641602,-0.005200386,0.001482576,0.7767168959980212,-0.489900271,-0.395779175,-0.008228888,0
1710359466804828000,112.66082788085937,0.020692009,0.012550855055451393,-0.028471943,-0.623031259,0.7543720006942749,-0.206773326,0.004806101,0.002998114,-0.001920938,0.7767351502755304,-0.489847796,-0.39580611,-0.008327305,0
1710359466814847000,112.67084692382812,0.021816130727529526,0.013447754085063934,-0.02233522,-0.62320292,0.754166305,-0.207006514,-0.000408709,0.005996227,-0.00301531,0.7768093631537538,-0.489710952,-0.395828156,-0.008409942,0
1710359466824865800,112.68086572265625,0.015689793974161148,0.011565431952476501,-0.025785612,-0.623415053,0.7539403438568115,-0.207190752,0.001375139,0.008739829,-0.002556384,0.776867427,-0.489584643,-0.395868037,-0.008518504,0
1710359466834883800,112.6908837890625,0.001242679,0.010089721530675888,-0.023314465,-0.623583794,0.7537647485733032,-0.20732151,0.005358577,0.003727496,-0.001784772,0.7769083577968987,-0.489498907,-0.395891482,-0.008622086,0
1710359466844903000,112.70090283203125,-0.003083893,0.007818844,-0.024447907,-0.62369287,0.7536641955375671,-0.207359463,0.009022951,-0.000520647,-0.001243263,0.7769195204531496,-0.48947895,-0.395892191,-0.008723713,0
1710359466854921000,112.7109208984375,-0.004045028,0.004005038,-0.024710761,-0.62385565,0.7535254955291748,-0.207373008,0.010498106479644775,0.002044022,-0.001946911,0.776922498,-0.489442901,-0.395928202,-0.008831065,0
1710359466864940000,112.72093994140624,-0.018754998,0.004271087,-0.01405146,-0.623986959,0.7534399628639221,-0.207288504,0.009469748,0.005516946,-0.001955062,0.7768940247745062,-0.489462699,-0.39595709,-0.008942045,0
1710359466874958300,112.73095825195313,-0.025083734,-0.001269992,-0.007678514,-0.624010563,0.75346148,-0.207139462,0.006929815,0.009569585,4.73261E-05,0.7768453520620764,-0.489541056,-0.395954319,-0.009008465,0
1710359466884976000,112.74097607421875,-0.037425622,0.002123142,0.006915342,-0.623952627,0.753571093,-0.206915691,0.002935052,0.007980049,-0.001885384,0.7767729063562465,-0.489678873,-0.395925188,-0.009051576,0
1710359466894995200,112.7509951171875,-0.02153161,0.005391,0.007785663,-0.623840034,0.7537147998809814,-0.206731677,0.000487864,0.008126199,-0.003152817,0.7767134663866635,-0.48981859,-0.395868552,-0.009071914,0
1710359466905014300,112.76101416015625,-0.013851852,0.002944088,0.008686077,-0.623703957,0.7538537979125977,-0.206635222,7.71284E-05,0.004401386,-0.001784414,0.7766825313388056,-0.489920138,-0.395803803,-0.0090588,0
1710359466915032000,112.77103198242187,-0.007332966,0.002208523,-0.001938071,-0.623599589,0.7539518475532532,-0.206591934,0.001254618,-0.002334416,-0.000500187,0.7766686964817494,-0.489982428,-0.395754035,-0.009041166,0
1710359466925051100,112.78105102539062,-0.012140239,0.00062634,-0.013956385,-0.623596907,0.7539607286453247,-0.206568226,0.006439865,-0.010109901,0.000528932,0.7766607649172274,-0.490009916,-0.395734971,-0.00907455,0
1710359466935069400,112.7910693359375,-0.010958327,0.000757207,-0.014000326,-0.623606563,0.7539687752723694,-0.206510112,0.007227659,-0.0097211,8.93772E-05,0.7766416074135781,-0.490049749,-0.395722361,-0.00911914,0
1710359466945088300,112.80108813476562,-0.001180798,0.001809156,-0.014432291,-0.623621821,0.753957987,-0.206502855,0.005411923,-0.00632304,-0.003656268,0.7766387899390882,-0.490062537,-0.39571111,-0.009154588,0
1710359466955107300,112.8111074,-0.010076554,0.004643131,-0.003978052,-0.623594284,0.7539885640144348,-0.206474781,0.000974536,-0.005041182,-0.000693649,0.7766295520118994,-0.49009789,-0.395685064,-0.009174561,0
1710359466965125400,112.82112548828125,-0.004676996,0.005866853,0.000562371,-0.623526573,0.754047692,-0.206463248,-0.003533483,0.000911653,0.003368944,0.7766257217938277,-0.490142058,-0.39563764,-0.009182893,0
1710359466975144200,112.83114428710938,0.000440001,0.004447282,0.002216727,-0.623457849,0.7540926933288574,-0.206505969,-0.006852269,0.00190413,0.002023101,0.776639476,-0.490158818,-0.395589873,-0.00917706,0
1710359466985163300,112.84116333007813,0.004823831,-0.000771981,0.001273701,-0.623422742,0.7541064620018005,-0.206561118,-0.00571239,0.002851546,0.004962176,0.7766573010702292,-0.490149321,-0.395566788,-0.009163601,0
1710359466995181300,112.85118139648438,-0.00205032,-0.00021783,0.00410038,-0.623414516,0.7541080117225647,-0.20658052,-0.002226412,-0.002429485,0.005332544,0.7766637186298717,-0.490140419,-0.395565557,-0.009152149,0
