time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1709730750617470500,71.07847045898437,-1.8621152639389038,-1.3505375385284424,-2.0453429222106934,0.3649525046348572,0.5166181921958923,-0.7745419144630432,0.2514720559120178,0.2272171974182129,-0.1852205991744995,-0.06766397033700777,-0.17352238133649509,-0.2874352377068103,0.939517062627739
1709730750627490600,71.08849047851562,-1.9111483097076416,-1.253071665763855,-2.1452481746673584,0.34378817677497864,0.5386248826980591,-0.7692157030105591,0.3439864218235016,0.15989190340042114,-0.27923089265823364,-0.06133542034727725,-0.16369971322301755,-0.29764835378268967,0.9385337392545458
1709730750637509400,71.09850927734375,-1.9866715669631958,-1.1188719272613525,-2.2790541648864746,0.32248032093048096,0.5609886050224304,-0.7624291181564331,0.38331496715545654,0.053574323654174805,-0.3565741777420044,-0.05428584659031264,-0.15419725183583938,-0.308234749216049,0.9371591768526472
1709730750647528400,71.10852856445312,-2.0129168033599854,-0.9922069907188416,-2.3439202308654785,0.30117323994636536,0.583443284034729,-0.7542469501495361,0.34157270193099976,-0.06755894422531128,-0.40593981742858887,-0.04658447660731737,-0.14509638466316035,-0.31909802732011444,0.9353893481417282
1709730750657548500,71.11854858398438,-2.001631259918213,-0.9168660640716553,-2.381809949874878,0.2799606919288635,0.6054316163063049,-0.7450332641601562,0.275321900844574,-0.1506892442703247,-0.40494537353515625,-0.03848879061691545,-0.13637731237633438,-0.329976679500083,0.9332926500726314
1709730750667567600,71.12856762695313,-1.9310623407363892,-0.941021203994751,-2.4497222900390625,0.2582155466079712,0.6265388131141663,-0.7353732585906982,0.2545102834701538,-0.15281450748443604,-0.40476346015930176,-0.030072344727261138,-0.127672902450894,-0.34060681313629776,0.9310113959274412
1709730750677587500,71.13858740234375,-1.772932767868042,-0.9891357421875,-2.536569833755493,0.23521940410137177,0.6463611721992493,-0.725871205329895,0.28003939986228943,-0.06362813711166382,-0.406269907951355,-0.021274538403515633,-0.11860511086551481,-0.3507096177777155,0.9286995552135502
1709730750687606300,71.14860620117187,-1.4436616897583008,-0.9844771027565002,-2.5311286449432373,0.2113560438156128,0.6637139916419983,-0.7175042629241943,0.3271876573562622,0.059705138206481934,-0.46996521949768066,-0.012145920041060966,-0.10933483331642721,-0.3595744352691104,0.9266091566669227
1709730750697625300,71.15862524414062,-1.183236002922058,-0.9166885614395142,-2.413846254348755,0.18786576390266418,0.6779870390892029,-0.7106615900993347,0.3554691970348358,0.12753963470458984,-0.567460298538208,-0.0030822022386791464,-0.10034439651679108,-0.3668789917980744,0.9248357687615281
1709730750707645400,71.1686455078125,-1.1205105781555176,-0.7644585371017456,-2.3152170181274414,0.165700301527977,0.690253496170044,-0.7043390274047852,0.3661295473575592,0.11776036024093628,-0.6061468124389648,0.005746094879579391,-0.09207456173722818,-0.37329981666224765,0.9231123338445485
1709730750717664500,71.17866455078125,-1.1317914724349976,-0.6347443461418152,-2.2512853145599365,0.14488591253757477,0.701749324798584,-0.6975355744361877,0.3817864656448364,0.08323895931243896,-0.6234788298606873,0.01447868103855703,-0.08460811687670637,-0.37957040567018663,0.9211720849943608
1709730750727684600,71.1886845703125,-1.1108717918395996,-0.5508784651756287,-2.188333749771118,0.12506195902824402,0.7125481963157654,-0.6903873085975647,0.37795931100845337,0.015936851501464844,-0.6224636435508728,0.02313548115304749,-0.0777476899043692,-0.3856963108705199,0.9190530041577785
1709730750737703400,71.19870336914063,-1.0354114770889282,-0.5401761531829834,-2.1094446182250977,0.10585318505764008,0.7224740386009216,-0.683246910572052,0.3766602575778961,-0.0692300796508789,-0.606700599193573,0.03155606360874912,-0.07120210460185529,-0.3915441301558832,0.9168574795760143
1709730750747722500,71.20872241210938,-0.8302212357521057,-0.5346479415893555,-2.016448736190796,0.08714320510625839,0.7308765649795532,-0.6769234538078308,0.4003293216228485,-0.11761069297790527,-0.5479910969734192,0.03963946866634628,-0.06481611797118743,-0.39665744924596025,0.9148171085566374
1709730750757742300,71.21874243164062,-0.6346302032470703,-0.5403344035148621,-1.9138023853302002,0.06907729804515839,0.7373096346855164,-0.6720139384269714,0.4264671802520752,-0.11760449409484863,-0.47797995805740356,0.047350105455262664,-0.05860399126341064,-0.40069764845237843,0.9131072000855568
1709730750767761400,71.22876147460937,-0.5894280672073364,-0.5567333102226257,-1.8179885149002075,0.051550667732954025,0.7424949407577515,-0.6678650975227356,0.42058679461479187,-0.07766956090927124,-0.4474303722381592,0.05459229198689239,-0.05247806331686696,-0.40412066510165495,0.9115657797338251
1709730750777781500,71.23878149414062,-0.5971137285232544,-0.5061267614364624,-1.7250123023986816,0.034743357449769974,0.7472449541091919,-0.6636398434638977,0.384491890668869,0.01873093843460083,-0.44431614875793457,0.061438271282531945,-0.046599544091574845,-0.4074414972557469,0.9099698511802511
1709730750787800300,71.24880029296875,-0.5450486540794373,-0.4422101378440857,-1.616655707359314,0.01904868148267269,0.7515007257461548,-0.6594571471214294,0.35379987955093384,0.14751654863357544,-0.42660242319107056,0.06796008171704304,-0.04120325271216667,-0.41057728595099113,0.9083556280653762
1709730750797819400,71.2588193359375,-0.5155429244041443,-0.3977022171020508,-1.5136382579803467,0.004516747314482927,0.7551735639572144,-0.6555092930793762,0.34255969524383545,0.25077730417251587,-0.41036295890808105,0.07411290536517154,-0.03628118584518499,-0.41343565172777424,0.9067865380315266
